,native_english,instructor,course,semester,class_size,score
0,English,23,3,Summer,19,High
1,non-English,15,3,Summer,17,High
2,English,23,3,Regular,49,High
3,English,5,2,Regular,33,High
4,non-English,7,11,Regular,55,High
5,non-English,23,3,Summer,20,High
6,non-English,9,5,Regular,19,High
7,non-English,10,3,Regular,27,High
8,English,22,3,Summer,58,High
9,non-English,15,3,Summer,20,High
10,non-English,10,22,Regular,9,High
11,non-English,13,1,Regular,30,High
12,non-English,18,21,Regular,29,High
13,non-English,6,17,Regular,39,High
14,non-English,6,17,Regular,42,Medium
15,non-English,6,17,Regular,43,Medium
16,non-English,7,11,Regular,10,Medium
17,non-English,22,3,Regular,46,Medium
18,non-English,13,3,Summer,10,Medium
19,non-English,7,25,Regular,42,Medium
20,non-English,25,7,Regular,27,Medium
21,non-English,25,7,Regular,23,Medium
22,non-English,2,9,Regular,31,Medium
23,non-English,1,15,Summer,22,Medium
24,non-English,15,13,Regular,37,Medium
25,non-English,7,11,Regular,13,Medium
26,non-English,8,3,Regular,24,Medium
27,non-English,14,15,Regular,38,Medium
28,non-English,21,2,Regular,42,Low
29,non-English,22,3,Regular,28,Low
30,non-English,11,1,Regular,51,Low
31,non-English,18,5,Regular,19,Low
32,non-English,13,1,Regular,31,Low
33,English,13,3,Summer,13,Low
34,non-English,5,2,Regular,37,Low
35,non-English,16,8,Regular,36,Low
36,non-English,4,16,Regular,21,Low
37,non-English,5,2,Regular,48,Low
38,non-English,14,15,Regular,38,Low
39,English,23,3,Summer,19,High
40,non-English,15,3,Summer,17,High
41,English,23,3,Regular,49,High
42,English,5,2,Regular,33,High
43,non-English,7,11,Regular,55,High
44,non-English,23,3,Summer,20,High
45,non-English,9,5,Regular,19,High
46,non-English,10,3,Regular,27,High
47,English,22,3,Regular,58,High
48,non-English,15,3,Summer,20,High
49,non-English,10,22,Regular,9,High
50,non-English,13,1,Regular,30,High
51,non-English,18,21,Regular,29,High
52,non-English,6,17,Regular,39,High
53,non-English,6,17,Regular,42,Medium
54,non-English,6,17,Regular,43,Medium
55,non-English,7,11,Regular,10,Medium
56,non-English,22,3,Regular,46,Medium
57,non-English,13,3,Summer,10,Medium
58,non-English,7,25,Regular,42,Medium
59,non-English,25,7,Regular,27,Medium
60,non-English,25,7,Regular,23,Medium
61,non-English,2,9,Regular,31,Medium
62,non-English,1,15,Summer,22,Medium
63,non-English,15,13,Regular,37,Medium
64,non-English,7,11,Regular,13,Medium
65,non-English,8,3,Regular,24,Medium
66,non-English,14,15,Regular,38,Medium
67,non-English,21,2,Regular,42,Low
68,non-English,22,3,Regular,28,Low
69,non-English,11,1,Regular,51,Low
70,non-English,18,5,Regular,19,Low
71,non-English,13,1,Regular,31,Low
72,English,13,3,Summer,13,Low
73,non-English,5,2,Regular,37,Low
74,non-English,16,8,Regular,36,Low
75,non-English,4,16,Regular,21,Low
76,non-English,5,2,Regular,48,Low
77,non-English,14,15,Regular,38,Low
78,English,23,3,Summer,25,High
79,English,13,3,Summer,17,High
80,non-English,16,19,Regular,11,High
81,non-English,9,2,Regular,39,High
82,non-English,13,3,Summer,11,High
83,non-English,18,21,Regular,19,High
84,English,22,3,Regular,45,High
85,non-English,7,11,Summer,20,High
86,non-English,23,3,Summer,20,High
87,English,23,3,Summer,20,High
88,English,23,3,Regular,38,High
89,non-English,14,22,Regular,17,High
90,English,17,17,Regular,19,High
91,non-English,9,5,Regular,24,High
92,non-English,18,25,Regular,25,High
93,English,17,17,Regular,31,High
94,non-English,1,15,Regular,31,High
95,non-English,1,8,Regular,18,Medium
96,English,11,16,Regular,22,Medium
97,English,22,13,Regular,27,Medium
98,non-English,9,2,Regular,14,Medium
99,non-English,13,1,Regular,20,Medium
100,English,6,17,Regular,35,Medium
101,non-English,23,3,Summer,20,Medium
102,English,23,3,Summer,20,Medium
103,non-English,6,17,Regular,37,Medium
104,English,22,3,Regular,15,Medium
105,non-English,20,2,Regular,25,Medium
106,non-English,23,3,Regular,10,Medium
107,non-English,20,2,Regular,14,Low
108,English,23,3,Regular,38,Low
109,non-English,13,1,Regular,29,Low
110,non-English,10,3,Regular,19,Low
111,non-English,7,11,Regular,30,Low
112,English,14,15,Regular,32,Low
113,non-English,8,3,Regular,27,Low
114,non-English,12,7,Regular,34,Low
115,non-English,8,7,Regular,23,Low
116,non-English,15,1,Regular,66,Low
117,non-English,23,3,Regular,12,Low
118,non-English,2,9,Regular,29,Low
119,non-English,15,1,Regular,19,Low
120,non-English,20,2,Regular,3,Low
121,non-English,13,14,Regular,17,High
122,non-English,9,6,Regular,7,High
123,English,10,3,Regular,21,High
124,non-English,14,15,Regular,36,High
125,English,13,1,Regular,54,High
126,English,8,3,Regular,29,High
127,non-English,20,2,Regular,45,High
128,non-English,22,1,Regular,11,Medium
129,non-English,18,12,Regular,16,Medium
130,non-English,20,15,Regular,18,Medium
131,English,17,18,Regular,44,Medium
132,non-English,14,23,Regular,17,Medium
133,non-English,24,26,Regular,21,Medium
134,non-English,9,24,Regular,20,Medium
135,non-English,12,8,Regular,24,Medium
136,non-English,9,6,Regular,5,Medium
137,non-English,22,1,Regular,42,Medium
138,non-English,7,11,Regular,30,Low
139,non-English,10,3,Regular,19,Low
140,non-English,23,3,Regular,11,Low
141,non-English,17,18,Regular,29,Low
142,non-English,16,20,Regular,15,Low
143,non-English,3,2,Regular,37,Low
144,non-English,19,4,Regular,10,Low
145,non-English,23,3,Regular,24,Low
146,non-English,3,2,Regular,26,Low
147,non-English,10,3,Regular,12,Low
148,English,18,7,Regular,48,Low
149,non-English,22,1,Regular,51,Low
150,non-English,2,10,Regular,27,Low
