created_at,handle,mined_at,retweet_count,text,tweet_id
Wed Oct 23 19:01:02 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817952,3967,"It would be really great if the people within the Trump Administration, all well-meaning and good (I hope!), could… https://t.co/R0cbyiJHmb",1187081515051601920
Wed Oct 23 18:58:44 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817960,2132,"....Does anybody think this is fair? Even though there was no quid pro quo, I’m sure they would like to try. Worse than the Dems!",1187080935373713408
Wed Oct 23 18:58:41 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817961,3077,"Never Trumper Republican John Bellinger, represents Never Trumper Diplomat Bill Taylor (who I don’t know), in testi… https://t.co/sWQXL60oqG",1187080923961012228
Wed Oct 23 17:48:40 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817962,11152,"The Never Trumper Republicans, though on respirators with not many left, are in certain ways worse and more dangero… https://t.co/xYkUiEWRuN",1187063301731209220
Wed Oct 23 16:35:23 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817963,8762,Thank you General Mazloum for your kind words and courage. Please extend my warmest regards to the Kurdish people.… https://t.co/87Ai6xndRw,1187044861725286400
Wed Oct 23 16:06:00 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817965,6863,https://t.co/7Ud0WLyo4g,1187037466261446656
Wed Oct 23 12:40:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817966,19827,Where’s the Whistleblower?,1186985677176655872
Wed Oct 23 12:39:20 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817967,17724,Big success on the Turkey/Syria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds… https://t.co/GPmce2penO,1186985455058898945
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817968,8995,....feel EMPOWERED. There’s a movement happening on these campuses like I’ve never seen before. When you have 3000… https://t.co/VK03WZAKr8,1186982949180317697
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817969,8552,....Order a couple of months ago saying that any school that does not uphold the First Amendment Rights of its stud… https://t.co/4Eec07cqxN,1186982948404449280
Wed Oct 23 12:29:22 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817970,13734,Young campus Conservatives are flocking to Turning Point USA &amp; other Conservative speaker events all over the Count… https://t.co/Kcevkl2ayD,1186982946336624640
Wed Oct 23 11:36:27 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817971,16182,Republicans are going to fight harder than ever to win back the House because of what the Do Nothing Democrats have done to our Country!,1186969632944611335
Wed Oct 23 11:32:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817972,14384,Neither he (Taylor) or any other witness has provided testimony that the Ukrainians were aware that military aid wa… https://t.co/hWjKgcVDz2,1186968579125792768
Wed Oct 23 10:56:02 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817973,9679,It never ends. The Do Nothing Dems are terrible! https://t.co/l7Qk0WU8ML,1186959459878350848
Wed Oct 23 04:15:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817975,7384,Thank you Steve! https://t.co/ROfsFdSGZO,1186858593364172800
Wed Oct 23 04:10:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817976,9071,The Democrats Scam goes on and on! They Do Nothing! https://t.co/4ER1m6e39s,1186857437657214976
Wed Oct 23 04:08:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817977,9799,The Witch Hunt continues! https://t.co/pBzhZfJEYb,1186856923636948993
Wed Oct 23 04:07:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817978,9517,The Do Nothing Dems have nothing but time! https://t.co/g9wsBfk16W,1186856554055852035
Wed Oct 23 03:43:38 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817979,14275,"Wrong, never even discussed this with Kellyanne Conway or Steve Mnuchin. Just more Fake News! https://t.co/bgR8TnytjJ",1186850642901557248
Tue Oct 22 22:18:29 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817980,20775,"Good news seems to be happening with respect to Turkey, Syria and the Middle East. Further reports to come later!",1186768817822806016
Tue Oct 22 14:06:55 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817981,10397,Great Job Tim! https://t.co/WhgO67CfKP,1186645111154847746
Tue Oct 22 13:41:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817982,15502,“The Democrats are trying to draw out this inquiry because they don’t have the support. Donald Trump is guilty only… https://t.co/ehoKmcYJlV,1186638807984230403
