date,bus_ridership
1973-01-01,648
1973-02-01,646
1973-03-02,639
1973-04-02,654
1973-05-02,630
1973-06-02,622
1973-07-02,617
1973-08-02,613
1973-09-02,661
1973-10-02,695
1973-11-02,690
1973-12-02,707
1974-01-02,817
1974-02-02,839
1974-03-02,810
1974-04-02,789
1974-05-02,760
1974-06-02,724
1974-07-02,704
1974-08-02,691
1974-09-02,745
1974-10-02,803
1974-11-02,780
1974-12-02,761
1975-01-02,857
1975-02-02,907
1975-03-02,873
1975-04-02,910
1975-05-02,900
1975-06-02,880
1975-07-02,867
1975-08-02,854
1975-09-02,928
1975-10-02,1064
1975-11-02,1103
1975-12-02,1026
1976-01-02,1102
1976-02-02,1080
1976-03-01,1034
1976-04-01,1083
1976-05-01,1078
1976-06-01,1020
1976-07-01,984
1976-08-01,952
1976-09-01,1033
1976-10-01,1114
1976-11-01,1160
1976-12-01,1058
1977-01-01,1209
1977-02-01,1200
1977-03-02,1130
1977-04-02,1182
1977-05-02,1152
1977-06-02,1116
1977-07-02,1098
1977-08-02,1044
1977-09-02,1142
1977-10-02,1222
1977-11-02,1234
1977-12-02,1155
1978-01-02,1286
1978-02-02,1281
1978-03-02,1224
1978-04-02,1280
1978-05-02,1228
1978-06-02,1181
1978-07-02,1156
1978-08-02,1124
1978-09-02,1152
1978-10-02,1205
1978-11-02,1260
1978-12-02,1188
1979-01-02,1212
1979-02-02,1269
1979-03-02,1246
1979-04-02,1299
1979-05-02,1284
1979-06-02,1345
1979-07-02,1341
1979-08-02,1308
1979-09-02,1448
1979-10-02,1454
1979-11-02,1467
1979-12-02,1431
1980-01-02,1510
1980-02-02,1558
1980-03-01,1536
1980-04-01,1523
1980-05-01,1492
1980-06-01,1437
1980-07-01,1365
1980-08-01,1310
1980-09-01,1441
1980-10-01,1450
1980-11-01,1424
1980-12-01,1360
1981-01-01,1429
1981-02-01,1440
1981-03-02,1414
1981-04-02,1424
1981-05-02,1408
1981-06-02,1337
1981-07-02,1258
1981-08-02,1214
1981-09-02,1326
1981-10-02,1417
1981-11-02,1417
1981-12-02,1329
1982-01-02,1461
1982-02-02,1425
1982-03-02,1419
1982-04-02,1432
1982-05-02,1394
1982-06-02,1327
